department,course_id,course_name,quality,num_of_reviews,distribs,layup
WRIT,WRIT002,Composition and Research: I,41,46,,10
WRIT,WRIT003,Composition and Research: II,18,18,,4
WRIT,WRIT005,Expository Writing,912,435,,69
WRIT,WRIT007.01,Religion and Literature,0,0,LIT,0
WRIT,WRIT007.02,Writers on Writing,0,-1,LIT,-1
WRIT,WRIT007.03,Victorian Nightmares:Gothic,0,0,"LIT, W",0
WRIT,WRIT007.04,Writing to Change the World,0,0,SOC,0
WRIT,WRIT007.05,Envrnment & Devel in China,0,0,"INT, SOC, NW",0
WRIT,WRIT007.06,Writing & Reading the Iliad,0,1,LIT,0
WRIT,WRIT007.07,Originalty/Ownrshp of Ideas,0,4,ART,1
WRIT,WRIT007.13,"Looks, Lookism and the Law",0,0,TMV,2
WRIT,WRIT007.14,Learning from Dartmouth,1,-1,"ART, W",-1
WRIT,WRIT007.15,Anarchism,0,0,"LIT, W",0
WRIT,WRIT007.16,What is a Discipline?,0,1,SOC,0
WRIT,WRIT007.17,Rituals of Transitions,0,0,"INT, CI",0
WRIT,WRIT007.18,Writing Natural History,0,0,SCI,0
WRIT,WRIT007.19,The Stories We Tell,2,0,LIT,2
WRIT,WRIT007.20,Science of Healthy Eating,0,0,SCI,0
WRIT,WRIT007.21,Interrogating the News,0,0,SOC,0
WRIT,WRIT007.22,Technology and Sport,2,6,TAS,5
WRIT,WRIT007.23,The Art of the Interview,4,14,SOC,10
WRIT,WRIT007.24,Past Imperfect,0,0,TMV,0
WRIT,WRIT007.25,The Worlds Englishes,2,0,"INT, SOC",-2
WRIT,WRIT007.26,Jane Eyre and Vict. Culture,0,0,"LIT, W",0
WRIT,WRIT007.27,Philosophy of Science,5,4,TMV,0
WRIT,WRIT007.28,Team Communication/Identity,2,3,SOC,3
WRIT,WRIT007.29,The Cuban Revolution,0,1,"SOC, NW",-1
WRIT,WRIT007.30,The Female Detective,2,5,"LIT, CI",2
WRIT,WRIT007.31,Novels of Empire,1,0,"LIT, CI",0
WRIT,WRIT007.32,Free Speech on College Campus,1,1,"W, TMV",-1
